id;humidity;temperature1;temperature2;pressure;dust;timestamp
185L; 39.76; 18.1; 18.2; 98870L; 0.09; '2017-04-24 17:50:04'
184L; 39.14; 18.1; 18.2; 98870L; 0.095; '2017-04-24 17:49:48'
183L; 39.16; 18.04; 18.13; 98869L; 0.105; '2017-04-24 17:49:32'
182L; 39.28; 18.0; 18.1; 98869L; 0.082; '2017-04-24 17:49:17'
181L; 39.24; 18.0; 18.05; 98870L; 0.08; '2017-04-24 17:49:01'
180L; 39.3; 18.0; 18.0; 98869L; 0.082; '2017-04-24 17:48:45'
179L; 39.26; 18.0; 18.0; 98871L; 0.079; '2017-04-24 17:48:30'
178L; 39.24; 18.0; 18.0; 98871L; 0.085; '2017-04-24 17:48:14'
177L; 39.22; 18.0; 18.0; 98871L; 0.087; '2017-04-24 17:47:58'
176L; 39.18; 17.98; 18.0; 98873L; 0.083; '2017-04-24 17:47:43'
175L; 39.18; 17.98; 18.0; 98875L; 0.082; '2017-04-24 17:47:27'
174L; 39.2; 17.98; 18.0; 98872L; 0.077; '2017-04-24 17:47:11'
173L; 39.26; 17.98; 18.0; 98875L; 0.086; '2017-04-24 17:46:56'
172L; 39.22; 17.92; 18.0; 98876L; 0.083; '2017-04-24 17:46:40'
171L; 39.26; 17.98; 18.0; 98875L; 0.096; '2017-04-24 17:46:24'
170L; 39.22; 17.96; 18.0; 98876L; 0.093; '2017-04-24 17:46:09'
169L; 39.2; 17.92; 18.0; 98876L; 0.084; '2017-04-24 17:45:53'
168L; 39.24; 17.96; 18.0; 98878L; 0.098; '2017-04-24 17:45:38'
167L; 39.16; 17.92; 18.0; 98878L; 0.091; '2017-04-24 17:45:22'
166L; 39.14; 17.92; 18.0; 98876L; 0.082; '2017-04-24 17:45:06'
165L; 39.14; 17.9; 18.0; 98876L; 0.083; '2017-04-24 17:44:51'
164L; 39.18; 17.9; 18.0; 98876L; 0.079; '2017-04-24 17:44:35'
163L; 39.1; 17.9; 18.0; 98877L; 0.08; '2017-04-24 17:44:19'
162L; 39.12; 17.92; 18.0; 98878L; 0.083; '2017-04-24 17:44:04'
161L; 39.08; 17.9; 18.0; 98880L; 0.084; '2017-04-24 17:43:48'
160L; 39.08; 17.9; 18.0; 98879L; 0.088; '2017-04-24 17:43:32'
